product_id,soco_brand,soco_product_name,status_sebelumnya
P000087,Beauty Story,Tinted Moisturiser Sheer Radiant,error
P000099,Benefit Cosmetics,Hello Happy Flawless Brightening,error
P000100,Benefit Cosmetics,Hello Happy Flawless Brightening Mini,error
P000101,Benefit Cosmetics,Hello Happy Soft Blur Foundation,error
P000102,Benefit Cosmetics,Hello Happy Soft Blur Foundation Mini,error
P000104,Benefit Cosmetics,’Hello Flawless!’ Oxygen Wow Liquid Foundation,error
P000110,Bioaqua,BB Air Cushion ( Orange ),error
P000120,BLP Beauty,Face Base,error
P000132,Bourjois,Foundation Healthy Mix Relaunch 17,error
P000133,BrunBrun Paris,Smooth Cover Cushion Foundation,error
P000134,BrunBrun Paris,Smooth Cover Cushion Foundation Refill,error
P000172,Canmake,Smooth Liquid Foundation,error
P000184,Caring Colours,Stay True Foundation,error
P000187,Cathy Doll,AA Matte Powder Cushion,error
P000190,Catrice,12h Matt Mousse Make up,error
P000191,Catrice,24h Made To Stay Make Up,error
P000199,Chanel,Perfection Lumiere Velvet,error
P000226,Clio,Nudism Velvetwear Foundation Set,error
P000251,Dazzle Me,Acne Armor Puff Perfection Cushion,error
P000258,Dear Me Beauty,Dear Me Beauty X KFC Primer + Foundation Breathable Cushion SPF46 PA+++,error
P000281,ELF Cosmetics,Tinted Moisturizer SPF 20,error
P000283,Emina,Bare With Me Mineral Cushion,no_ingredients
P000290,Erha,Esme Df Improved Formula Sureface,error
P000293,Erha,Luminous Pearl BB Cushion,error
P000294,Erto's,EE Whitening Aircushion,error
P000340,Everwhite,Magic Cushion,error
P000344,Fanbo,Fantastic Foundation,error
P000345,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,error
P000352,Flormar,Perfect Cover Foundation,error
P000355,Focallure,Face Foundation Makeup Base Liquid,error
P000368,Focallure,Sheer Glow Liquid Foundation,error
P000432,IMMEME,Cover-Up Matte Fit Cushion,error
P000435,Implora,Seamless Liquid Foundation,error
P000437,Inez,Satin Smooth Liquid Foundation,error
P000440,Innisfree,My Foundation 1.3,error
P000446,Instaperfect,Instaperfect MINERALIGHT MATTE BB Cushion,error
P000499,Klara,Foundation Stick,error
P000523,LA GIRL,Hd Pro Matte Foundation,error
P000527,La Tulipe,Cover Foundation,error
P000528,La Tulipe,Cover Foundation For Oily Skin,error
P000530,La Tulipe,Perfect Foundation,error
P000531,La Tulipe,Soft Foundation,error
P000532,La Tulipe,Stay Smooth Liquid Foundation,error
P000535,Lakme,9To5 Reinvent Weightless Mousse Foundation,error
P000536,Lakme,Absolute Reinvent Illuminating Foundation,error
P000537,Lakme,Absolute Reinvent Mattreal Skin Natural Mousse Foundation,error
P000538,Lakme,Absolute Reinvent Skin Cover Foundation,error
P000539,Lakme,Absolute Reinvent White Intense Skin Cover Foundation,error
P000542,Lancôme,Teint Idole Ultra Longwear Cushion Foundation SPF 50,error
P000595,Looke Cosmetics,Holy Flawless BB Cushion Refill,error
P000596,Looke Cosmetics,Holy Flawless BB Cushion Special Vol 2,error
P000600,Loreal Paris,Infallible 24 Hour Stay Fresh Foundation,error
P000605,Loreal Paris,Infallible Pro Glow Foundation,error
P000613,Loreal Paris,True Match Liquid Foundation,error
P000615,Loreal Paris,True Match Lumi Cushion Foundation,error
P000617,Loreal Paris,True Match Mineral Foundation,error
P000630,Luxcrime,2nd Skin Luminous Cushion,error
P000651,Make Up For Ever,Reboot Foundation,error
P000655,Mamonde,Brightening Cover Powder Cushion,error
P000665,Masami,Loveskin BB Cushion,error
P000676,Maybelline,Dream Matte Mousse,error
P000707,Mineral Botanica,Acne Care Loose Foundation,error
P000710,Mineral Botanica,Studio Series Dura Wear Lightweight Full Cover Liquid Foundation,error
P000711,Mineral Botanica,Two Way Cake Foundation,error
P000712,Mineral Botanica old,Air Cushion Foundation,error
P000714,Mirabella,Foundation Stick,error
P000731,Mizzu,Glam Rock Aqua Foundation Refill,error
