product_id,soco_brand,soco_product_name,status_sebelumnya
P000223,Clio,"Kill Cover Skin Fixer Cushion SPF 50+, PA+++ Luxury Koshort",error
P000222,Clio,"Kill Cover Skin Fixer Cushion SPF 50+, PA+++",error
P000649,Make Over,Ultra Cover Liquid Matte Foundation,error
P000598,Loreal Paris,Infaillible 24H Tinted Serum,error
P000782,O.Two.O,Soft Clarity Mist Cushion Cream,error
P001020,Viva,Liquid Foundation,error
P001069,YOU Beauty,Extra Full Coverage Liquid Foundation,error
P001056,Wet n Wild,CoverAll Crème Foundation,error
P000599,Loreal Paris,Infallible 24 Hour Freshwear Foundation,error
P000258,Dear Me Beauty,Dear Me Beauty X KFC Primer + Foundation Breathable Cushion SPF46 PA+++,error
P000172,Canmake,Smooth Liquid Foundation,error
P000712,Mineral Botanica old,Air Cushion Foundation,error
P000537,Lakme,Absolute Reinvent Mattreal Skin Natural Mousse Foundation,error
P000602,Loreal Paris,Infallible 32H Matte Cover Foundation,error
P000551,Laneige,LANEIGE Neo Cushion Glow SPF 50 PA+++,error
P001036,Wardah,Colorfit Matte Foundation,error
P000536,Lakme,Absolute Reinvent Illuminating Foundation,error
P000870,Secondate,Good Skin Day Tinted Serum,error
P001081,YOU Beauty,YOU The Simplicity Color Corrector CC Cushion,error
P000083,barenbliss,Double Joy Inside Holiday Edition Cushion Kit (cushion + refill),error
